strekkode;vare;beskrivelse;kategori;enhet
7025110173041;Coop Kjøttboller 1,2kg;FATLAND SALG AS;mat;stk
7025110173072;Coop Kjøttkaker 1,2kg;FATLAND SALG AS;mat;stk
7025110173102;Coop Kokt Skinke 150g;FATLAND SALG AS;mat;stk
7025110173133;Coop Hamburgerrygg 150g;FATLAND SALG AS;mat;stk
7025110173164;Coop Servelat 150g;FATLAND SALG AS;mat;stk
7025110173195;Skummet melk 0,1%;RØROSMEIERIET AS;drikke;stk
7025110173256;Coop Drikkebeger i Papp 355ml 25pk;TRADEWAY AS;mat;stk
7025110173430;Änglamark Stearin Kronelys Hvit 24cm 20pk;TRADEWAY AS;mat;stk
7025110173461;Änglamark Kronelys Stearin Hvit 30cm 10pk;TRADEWAY AS;mat;stk
7025110173492;Änglamark Kubbelys Stearin Hvit 7x10cm;TRADEWAY AS;mat;stk
7025110173522;Änglamark Kubbelys Stearin Hvit 7x15cm;TRADEWAY AS;mat;stk
7025110173553;Coop Frøbrød Bakemix Glutenfri 450g;PUREFOOD NORWAY AS;mat;stk
7025110173584;Coop Melmix Bakemix Glutenfri 450g;PUREFOOD NORWAY AS;mat;stk
7025110173645;Coop Biff Stroganoff 800g;FATLAND SALG AS;mat;stk
7025110173676;Coop Sprudle Bringebær/Granateple m/Kullsyre 1,5l;TELEMARK KILDEVANN AS;mat;stk
7025110173720;Sprudle Eple;TELEMARK KILDEVANN AS;mat;stk
7025110173775;Beefy Burgers 2 x 150 g;Coop;mat;stk
7025110173805;Coop Chili Burger 300g;FATLAND SALG AS;mat;stk
7025110173836;Cheesy Burgers med 21% ost 2 x 150 g;FATLAND SALG AS;mat;stk
7025110173867;Coop Baconburger 300g;FATLAND SALG AS;mat;stk
7025110174178;Coop Bomullsklut 3pk;TRADEWAY AS;mat;stk
7025110174208;Coop Universalhansker Small;TRADEWAY AS;forbruk;stk
7025110174239;Coop Universalhansker Medium;TRADEWAY AS;forbruk;stk
7025110174260;Coop Universalhansker Large;TRADEWAY AS;forbruk;stk
7025110174321;X-tra Toalettbørste;TRADEWAY AS;mat;stk
7025110174413;X-tra Muffinsform 210stk;TRADEWAY AS;mat;stk
7025110174475;Coop Avfallssekker med Knytehåndrak Transp. 10stk;TRADEWAY AS;mat;stk
7025110174505;Coop Avfallssekker med Knytehåndtak Sort 10stk;TRADEWAY AS;mat;stk
7025110175151;Husholdningssaft;Coop;mat;stk
7025110175502;Classic Burgers;FATLAND SALG AS;mat;stk
7025110175595;Vegetardag Fava Bean Snitzel 2 x 90 g;Coop;mat;stk
7025110175786;Parmigiano Reggiano 150g;Coop;drikke;stk
7025110175908;Smak Soltørkede Tomater 130g;FOODBROKER AS;mat;stk
7025110175960;Coop Fiskeburger Ost/Bacon 1,2kg;NORSK KVALITETSMAT AS;mat;stk
7025110176080;Pepperskinke;Xtra;mat;stk
7025110176295;Coop Vegetardag Terninger 250g;FATLAND SALG AS;mat;stk
7025110176684;Coop Dagens Fiskesuppe Base 1l;HOLMENS AS;mat;stk
7025110176745;Coop Dagens Thaisuppe Base 1l;HOLMENS AS;mat;stk
7025110177025;Coop Tomatpure 140g;ANTONIO PETTI FU PASQUALE SPA;mat;stk
7025110177056;Vegetar Potet salat;SALATMESTERN AS;mat;stk
7025110177087;Mandelpoteter;Xtra;mat;stk
7025110177438;Nuggets av svin;Coop;mat;stk
7025110177490;Coop Skinkesalat med Mais og Løk 180g;ALNA AS;mat;stk
7025110177582;Coop Karbonadedeig 200g;FATLAND SALG AS;mat;stk
7025110177766;UT egg (Coop) 6 pcs;Coop;mat;stk
7025110177797;X-tra Kjøttpølse uten Skinn 800g;FATLAND SALG AS;mat;stk
7025110177827;Coop Kyllingfilet i Biter 190g;DEN STOLTE HANE AS;mat;stk
7025110177889;SKREIBURGER 2 x 125 g;Coop;mat;stk
7025110177933;Serranoskinke;Coop;mat;stk
7025110178107;Coop Kreolsk Kyllingsalat 80g;SALATMESTERN AS;mat;stk
7025110178138;Coop Lett Majones 170g;ALNA AS;mat;stk
7025110178169;Coop Vegan Majones 330g;ALNA AS;mat;stk
7025110178459;Coop Dagens Lunsjkaker 240g;HOLMENS AS;mat;stk
7025110178480;Coop Dagens Karbonader 240g;HOLMENS AS;mat;stk
7025110178510;Coop Dagens Karbonade med Løk & Potetmos 290g;HOLMENS AS;mat;stk
7025110178572;Dagens: Tikka masala 290 g;coop;mat;stk
7025110178602;Coop Dagens Sweet & Sour med Svin & Ris 290g;HOLMENS AS;mat;stk
7025110178633;Coop Dagens Spaghetti & Kjøttboller 350g;HOLMENS AS;mat;stk
7025110178695;Coop Dagens Lasagne 300g;Coop;mat;stk
7025110178725;Coop Dagens Biff Stroganoff 330g;HOLMENS AS;mat;stk
7025110178756;Coop Dagens Storferagu 330g;HOLMENS AS;mat;stk
7025110178787;Cheese chilli bacon fish burger;Coop;mat;stk
7025110178916;Norske Jordbær 400 gram;Coop;mat;stk
7025110178961;Änglamark Telys 6 timer 50stk;TRADEWAY AS;mat;stk
7025110179050;Egg 12 stk;DEN STOLTE HANE AS;mat;stk
7025110179111;Frokostegg fra frittgående høner, L 12 pcs;Coop;mat;stk
7025110179142;Coop Serranoskinke 80g;FOODBROKER AS;mat;stk
7025110179203;Egg fra norske gårder (Coop) 6 pcs;Coop;mat;stk
7025110179708;Smak Ardenneskinke 80g;FATLAND SALG AS;mat;stk
7025110179760;Smak Roastbiff med Pepper 80g;FATLAND SALG AS;mat;stk
7025110179814;Kokos vanilje yogurtalternativ;ALNA AS;mat;stk
7025110179876;kokos original;ALNA AS;drikke;stk
7025110179975;Spirit;PETPACK DRIKKER AS;mat;stk
7025110180223;Mandarin- og mangojuice;REFRESCO DEUTSCHLAND GMBH;mat;stk
7025110180254;Kalas Sukkerfri 1,5l;PETPACK DRIKKER AS;mat;stk
7025110180308;Coop Orango uten tilsatt sukker 1.5L;Coop;mat;stk
7025110180407;Eplebrus;PETPACK DRIKKER AS;drikke;stk
7025110180452;Eplebrus Sukkerfri 1,5l;PETPACK DRIKKER AS;mat;stk
7025110180506;Cola Uten Sukker;PETPACK DRIKKER AS;drikke;stk
7025110180551;Cola;PETPACK DRIKKER AS;mat;stk
7025110180605;Orango;PETPACK DRIKKER AS;mat;stk
7025110180650;Kalas brus med fruktsmak;PETPACK DRIKKER AS;drikke;stk
7025110180704;Julebrus 1,5L;Coop;mat;stk
7025110180971;Coop Vegetardag Boller 350g;FATLAND SALG AS;mat;stk
7025110181060;Kantareller;Smak;mat;stk
7025110181145;Coop Kryddersildfilet 150g;GJENDEMSJØ SEAFOOD AS;mat;stk
7025110181268;Coop Kjøkkenhåndkle Mikrofiber 1stk;TRADEWAY AS;mat;stk
7025110181299;Coop Mikrofiberkluter 4pk;TRADEWAY AS;mat;stk
7025110181343;Coop Kjøkkenklut Mikrofiber 2pk;TRADEWAY AS;mat;stk
7025110181398;Coop Oppvaskbørste Nature;TRADEWAY AS;forbruk;stk
7025110181459;Änglamark Universalklut 8pk;TRADEWAY AS;mat;stk
7025110181749;Coop Oppvaskbørste Nature Refill;TRADEWAY AS;forbruk;stk
7025110181800;X-tra Potetchips salt 300g;X-tra;mat;stk
7025110181879;Økologisk Lettrømme 18% fett fra Rørosmeieriet 250ml;Änglamark;drikke;stk
7025110182050;Coop Kjøttboller Tomatsaus 600g;HOLMENS AS;mat;stk
7025110182081;Potetchips Paprika 300g;Xtra;mat;stk
7025110182159;Smak Granateple&Druejuice 1l;REFRESCO DEUTSCHLAND GMBH;mat;stk
7025110182210;Coop Fiskeburger Hyse og Torsk 300g;NORSK KVALITETSMAT AS;mat;stk
7025110182241;Fiskeburger Hvitløk og Purre 2 x 150 g;NORSK KVALITETSMAT AS;mat;stk
7025110182371;Coop Laks i Terninger 300g;COAST SEAFOOD AS;mat;stk
7025110182425;X-tra Røkt Laks i Skiver 190g;COAST SEAFOOD AS;mat;stk
7025110182579;Cabbage and carrots;Coop;mat;stk
7025110182593;Wokmix;Coop;mat;stk
7025110182616;Råkostsalat;Coop;mat;stk
7025110182685;Coop Fish & Chips 500g;FIRST SEAFOOD AS;mat;stk
7025110182821;Coop Aioli Potetsalat 400g;ALNA AS;mat;stk
7025110182883;Coop Spekeskinke 300g;FATLAND SALG AS;mat;stk
7025110182951;Coop Blåbærsirup 0,9l;RØRA FABRIKKER AS;mat;stk
7025110182982;Bringebærsaft;RØRA FABRIKKER AS;mat;stk
7025110183019;Coop Sprudle Naturell 0,5l;TELEMARK KILDEVANN AS;mat;stk
7025110183064;Coop Sprudle Bringebær/Granola 0,5l;TELEMARK KILDEVANN AS;mat;stk
7025110183118;Coop sitron sprudle;Coop;mat;stk
7025110183224;Coop Hummus Ingefær & Chili 200g;SALATMESTERN AS;mat;stk
7025110183354;Friiii Bringebær Saft Uten Sukker;RØRA FABRIKKER AS;drikke;stk
7025110183385;Frii fruktsmak;RØRA FABRIKKER AS;drikke;stk
7025110183415;Coop Vegetardag Kikertpålegg Urter & Hvitløk 150g;ALNA AS;mat;stk
7025110183446;Coop Vegetardag Kikerpålegg Tomat&Paprika 150g;ALNA AS;mat;stk
7025110183538;Coop Gjødsel Langtidsvirkende 1kg;TRADEWAY AS;mat;stk
7025110183590;Coop Plantenæring Universal 1l;TRADEWAY AS;mat;stk
7025110183668;Coop Kniv Natureline 20stk;TRADEWAY AS;mat;stk
7025110183699;Coop Gaffel Natureline 20stk;TRADEWAY AS;mat;stk
7025110183729;Coop Skje Natureline 20stk;TRADEWAY AS;mat;stk
7025110183750;Coop Teskje Natureline 25stk;TRADEWAY AS;mat;stk
7025110184023;Black garlic Pølse;Coop Grill perfect;mat;stk
7025110184078;Sort iste fersken 1L;Coop;mat;stk
7025110184108;Coop Sort Iste Sitron Uten Sukker 1l;RØRA FABRIKKER AS;mat;stk
7025110184139;Grønn iste Smak av line;RØRA FABRIKKER AS;mat;stk
7025110184207;Habanero 50g;Coop;mat;stk
7025110184269;Lettmelk;ÅNGLAMARK;mat;stk
7025110184276;Lettmelk 0,5%;Änglamark;mat;stk
7025110184283;Scampi naturell 270 gram;Coop;mat;stk
7025110184313;Coop Scampi med Chili og Hvitløk 170g;NORSK KVALITETSMAT AS;mat;stk
7025110184344;Frokostegg (18 stk M/L/XL) 1152 gram;Coop;mat;stk
7025110184498;Coop Potetmos 500g;ART NOR AS;mat;stk
7025110184528;Kålrotstappe;Coop;mat;stk
7025110184559;Coop Ertestuing 400g;ART NOR AS;mat;stk
7025110184580;Kålstuing;Coop;mat;stk
7025110184610;Fløtepoteter;ART NOR AS;mat;stk
7025110184641;Fløtepoteter Hvitløk Coop;ART NOR AS;mat;stk
7025110184757;Svenske Kjøttboller 600 g;Coop;mat;stk
7025110184924;Kyllingfilet i biter;DEN STOLTE HANE AS;mat;stk
7025110185105;Smak Kokt Skinke 80g;FATLAND SALG AS;mat;stk
7025110185136;Spekeskinke modnet i 12 måneder;FATLAND SALG AS;mat;stk
7025110185167;Smak Fenalår 80g;FATLAND SALG AS;mat;stk
7025110185198;X-tra Spekeskinke Bøkerøkt 300 g;X-tra;mat;stk
7025110185266;Coop Fiskeburger 300g;NORSK KVALITETSMAT AS;mat;stk
7025110185297;Grønne druer 500g;Xtra;mat;stk
7025110185518;Steinovnsbakte Pizzabunner;STAUR FJELLBAKERI AS AS;mat;stk
7025110185662;X-tra Kjøttkaker 1kg;FATLAND SALG AS;mat;stk
7025110185693;Kjøttdeig Lavere Fettinnhold;Coop;mat;stk
7025110185846;Kreolsk Kyllingsalat;Coop;mat;stk
7025110185877;CHILISCAMPI I AIOLI;coop;mat;stk
7025110185938;Coop Rekesalat 320g;ALNA AS;mat;stk
7025110185990;Coop Skagensalat 180g;SALATMESTERN AS;mat;stk
7025110186034;Coop Argentinske Reker 170g;NORSK KVALITETSMAT AS;mat;stk
7025110186126;Kyllingvinger Naturell;Coop;mat;stk
7025110186201;X-tra Kronelys Hvit Stearin 19cm 30pk;TRADEWAY AS;mat;stk
7025110186232;Coop Avfallspose 15l 15stk;TRADEWAY AS;forbruk;stk
7025110186355;Agurker i skiver;SMAKEN AV GRIMSTAD AS;mat;stk
7025110186386;Rødbeter i skiver;SMAKEN AV GRIMSTAD AS;mat;stk
7025110186416;Coop Frisk og Gul 1,5l;RØRA FABRIKKER AS;mat;stk
7025110186478;Creme Fraiche Dressing 415 g;Coop;mat;stk
7025110186560;Potetsalat med crème fraîche;SALATMESTERN AS;mat;stk
7025110186591;Coop Reker i Majones 180g;SALATMESTERN AS;mat;stk
7025110186621;Coop Chilimajones 80g;SALATMESTERN AS;mat;stk
7025110186843;Suppe Og Lapskausblanding;Cooo;mat;stk
7025110186874;Coop Erter;FERSKVAREHUSET AS;mat;stk
7025110186904;Coop Rosenkål 700g;FERSKVAREHUSET AS;mat;stk
7025110186935;Coop Selskapserter 350g;FERSKVAREHUSET AS;mat;stk
7025110186966;Stekepoteter med Grønnsaker;Coop;mat;stk
7025110186997;Coop Aspargesbønner 250g;FERSKVAREHUSET AS;mat;stk
7025110187024;Rotgrønnsaker 500g;Coop;mat;stk
7025110187055;Coop Amerikansk Blanding 800g;FERSKVAREHUSET AS;mat;stk
7025110187086;Brokkoliblanding 500g;coop;mat;stk
7025110187116;Blomkålblanding;FERSKVAREHUSET AS;mat;stk
7025110187147;Coop Viltblanding 500g;FERSKVAREHUSET AS;mat;stk
7025110187239;Pommes Frites;Xtra;mat;stk
7025110187260;Sprø pommes frites;Coop;mat;stk
7025110187291;Sprø Båtpoteter 600g;Coop;mat;stk
7025110187321;steakhouse frites;coop;mat;stk
7025110187444;Original wok-grønnsaker (dypfryst);FERSKVAREHUSET AS;mat;stk
7025110187550;Avocado spisemoden 300g;Coop;mat;stk
7025110187819;Coop Kyllingfilet 650g;DEN STOLTE HANE AS;mat;stk
7025110187840;Coop Kyllingfilet 925g;DEN STOLTE HANE AS;mat;stk
7025110187871;Coop Skivet Kyllingfilet 400g;DEN STOLTE HANE AS;mat;stk
7025110187901;Coop Lårfilet 600g;DEN STOLTE HANE AS;mat;stk
7025110187932;Coop Rå Kyllinglår 1kg;DEN STOLTE HANE AS;mat;stk
7025110187963;Smak Rødvinsaus 220g;MATPARTNER AS;mat;stk
7025110187994;Smak Fløtesaus 220g;MATPARTNER AS;mat;stk
7025110188021;Smak Smørsaus 220g;MATPARTNER AS;mat;stk
7025110188090;Nypoteter;Coop;mat;stk
7025110188502;Pankopanert Torskefilet;Coop;mat;stk
7025110188564;Coop Lettsaltet Torsk 4x125g;LERØY SEAFOOD AS;mat;stk
7025110188595;Coop Fish'n Chips 300g;LERØY SEAFOOD AS;mat;stk
7025110188625;Sprøbakt Torskefilet;;mat;stk
7025110188656;Røkt Laks;Coop;mat;stk
7025110188687;Coop Italiensk Kjøttboller 360g;FATLAND SALG AS;mat;stk
7025110188717;Spanske Kjøttboller;FATLAND SALG AS;mat;stk
7025110188748;Coop Greske Kjøttboller 360g;FATLAND SALG AS;mat;stk
7025110188779;Kylingboller;coop;mat;stk
7025110188823;Snackmiks Miniagurk;Coop Norge SA;mat;stk
7025110189202;Kinakåm;Coop;mat;stk
7025110189240;Sjampinjong 250g;X-Tra;mat;stk
7025110189264;Coop Vegetardag Pea Bolognese 400g;GRONKO AB;mat;stk
7025110189295;Chili Con Pea;Coop;mat;stk
7025110189356;Vegetardag Deig;FATLAND SALG AS;mat;stk
7025110189424;Coop Vegetardag Tacodeig 100g;FATLAND SALG AS;mat;stk
7025110189509;Coop Syltetøy Jordbær Uten Tilsatt Sukker;Coop;mat;stk
7025110189592;Änglamark Tofu 2 x 125 gram;Änglamark;mat;stk
7025110189837;Coop Crispy Fish 240g;FIRST SEAFOOD AS;mat;stk
7025110189929;Skrivet naturell alternativ til ost;Coop vegetardag;mat;stk
7025110189950;Coop Vegetardag Revet Naturell 150g;HKL HAMBURGER KÄSELAGER GMBH;mat;stk
7025110189981;Coop Vegetardag Skivet Jalapeno/Chili 150g;BIGFOOD DANMARK APS;mat;stk
7025110190031;Coop Dagens Burger med Ost og Løk;HOLMENS AS;mat;stk
7025110190062;Coop Fiskenuggets med Remulade;SALATMESTERN AS;mat;stk
7025110190093;Blomkålris;;mat;stk
7025110190451;Morrpølse;Coop;mat;stk
7025110190642;Ribberull;Xtra;mat;stk
7025110190710;Coop Potetmos Vanlig 90g;HOFF SA;mat;stk
7025110190741;Mash potatoes mix 90 gram;Coop;mat;stk
7025110190826;Coop Vegetardag Nuggets 300g;FATLAND SALG AS;mat;stk
7025110190932;X-tra Hel Grillet Kylling 900g;DEN STOLTE HANE AS;mat;stk
7025110191342;Coop Lynlåsposer 2str 20stk;TRADEWAY AS;mat;stk
7025110191465;Coop Skjermwipes 30stk;TRADEWAY AS;mat;stk
7025110191526;X-tra Engangshansker Onesize 100stk;TRADEWAY AS;forbruk;stk
7025110191700;Coop Snapsglass 24pk;TRADEWAY AS;mat;stk
7025110191878;Lett Majones;ALNA AS;mat;stk
7025110191960;Änglamark Ostebriks 300g;CHEPORT CHEESE APS;mat;stk
7025110191991;Änglamark Økologisk Multikornbriks;CHEPORT CHEESE APS;mat;stk
7025110192028;Vårløk 150 g;Coop;mat;stk
7025110192080;Frii - Smak av honningmelon og lime 0,75L;Coop;mat;stk
7025110192110;Coop Frii Mango&Fersken Uten Tilsatt Sukker 0,75l;RØRA FABRIKKER AS;mat;stk
7025110192141;Coop Waldorfsalat 400g;SALATMESTERN AS;mat;stk
7025110192257;Coop Papptallerken Dekor 22cm 20pk;TRADEWAY AS;mat;stk
7025110192370;X-tra Pannekaker 16stk 960g;X-Tra;mat;stk
7025110192493;Coop Tallerken Dyp Dekor 19cm 15pk;TRADEWAY AS;mat;stk
7025110192523;Coop Tallerken Nature 24cm 6pk;TRADEWAY AS;mat;stk
7025110192554;Sort iste smak av fersken uten tilsatt sukker;RØRA FABRIKKER AS;drikke;stk
7025110192585;Middelhavs-salami;FATLAND SALG AS;mat;stk
7025110192660;Remulade;Coop;mat;stk
7025110192752;Coop Skivet Bacon 400g;FATLAND SALG AS;mat;stk
7025110192912;Coop Vegetardag Smørbar Paprika 150g;HKL HAMBURGER KÄSELAGER GMBH;mat;stk
7025110192974;Coop Vegetardag Skivet Cheddar 150g;HKL HAMBURGER KÄSELAGER GMBH;mat;stk
7025110193032;Coop Dagens Pasta Bolognese 350g;HOLMENS AS;mat;stk
7025110193094;Coop Fiskegrateng med Potetmos 350g;MARENOR AB;mat;stk
7025110193155;Coop Rå Kjøttboller Italiensk 360g;FATLAND SALG AS;mat;stk
7025110193216;Coop Alkohol Wipes 25stk;TRADEWAY AS;mat;stk
7025110193292;Coop Alkohol Wipes Singelpakket 20stk;TRADEWAY AS;mat;stk
7025110193384;Coop Kalkun Kentucky 100g;FATLAND SALG AS;mat;stk
7025110193414;Coop Revet Ost 300g;GEIA FOOD A/S (EUR);mat;stk
7025110193551;Coop Karbonader 540g;FATLAND SALG AS;mat;stk
7025110193582;Änglamark Skivet Svin Nakke 450g;FATLAND SALG AS;mat;stk
7025110193780;Coop Kaviarmiks 175g;MARENOR AB;mat;stk
7025110193995;Coop Smoothie Rød 6 Frukter 250ml;ROGALAND KONSERVERINGSFABRIKK AS;drikke;stk
7025110194022;Gul Smoothie 250 ml;Coop;drikke;stk
7025110194084;Coop Svin Ytrefilet 450g;FATLAND SALG AS;mat;stk
7025110194114;Coop Tørrwipes Baderom 50stk;TRADEWAY AS;mat;stk
7025110194145;Coop Plantenæring Snittblomster 500ml;TRADEWAY AS;mat;stk
7025110194206;Benfrie grillkoteletter;Coop;mat;stk
7025110194237;Coop Ytrefilet Black Garlic 250g;FATLAND SALG AS;mat;stk
7025110194268;Grillfilet;Coop;mat;stk
7025110194411;Spicy Lemon Grillspyd;Coop;mat;stk
7025110194473;Grillspyd Bbq Svin;Coop;mat;stk
7025110194510;Kyllingspyd Gyros;Coop;mat;stk
7025110194633;Kyllingfilet smak av soltørket tomat;Grill perfekt;mat;stk
7025110194725;Coop Kokos Vanilje 400g;ALNA AS;mat;stk
7025110194855;Blåbær 400 gram;Coop;mat;stk
7025110195173;Coop Grill Perfekt Kryddersmør 90g;SYNNØVE FINDEN AS;mat;stk
7025110195203;Coop Grill Perfekt Bearnaisesmør 90g;SYNNØVE FINDEN AS;mat;stk
7025110195265;Coop Chorizo 240g;FATLAND SALG AS;mat;stk
7025110195296;Kyllingfillet;DEN STOLTE HANE AS;mat;stk
7025110195357;X-tra Kyllinglår 2kg;DEN STOLTE HANE AS;mat;stk
7025110195449;Coop Lettrøkt Laks med Pepperrotkrem 230g;COAST SEAFOOD AS;mat;stk
7025110195470;Sprudle Bringebær & Granateple;MACKS ØLBRYGGERI AS;mat;stk
7025110195524;Sprudle Sitron;MACKS ØLBRYGGERI AS;mat;stk
7025110195678;Bringebær & Granateple Sprudle 6 x 330 ml;MACKS ØLBRYGGERI AS;mat;stk
7025110195722;Sitron Sprudle 6 x 330 ml;MACKS ØLBRYGGERI AS;mat;stk
7025110195777;Coop Parmigiano Stick 125g;Coop;drikke;stk
7025110195807;Potet;Coop;mat;stk
7025110195838;røde nypoteter;Coop;mat;stk
7025110195869;Gule Nypoteter 1,5KG;Coop;mat;stk
7025110195890;Fiskepudding;Xtra;mat;stk
7025110195920;Coop Fiskepudding 480g;RØRVIK FISKEMAT AS;mat;stk
7025110195951;Coop Rund Fløtepudding 450g;RØRVIK FISKEMAT AS;mat;stk
7025110195982;Coop Fiskeboller med Lake 450g;RØRVIK FISKEMAT AS;mat;stk
7025110196347;Reinskav;Xtra;mat;stk
7025110196378;Peppermix Grillspyd Storfe;Coop Norge SA;mat;stk
7025110196408;Sprudle Fersken;TELEMARK KILDEVANN AS;mat;stk
7025110196453;Sprudle Jordbærlimonade 1,5l;Coop;mat;stk
7025110196507;Spirit Uten Sukker 1,5L;Coop;mat;stk
7025110196576;Coop Frokostegg Frittgående M/L 6pk;DEN STOLTE HANE AS;mat;stk
7025110196828;Coop Kyllingboller 360g;FATLAND SALG AS;mat;stk
7025110196859;Coop Svenske Kjøttboller 360g;FATLAND SALG AS;mat;stk
7025110196880;Potetchips salt 300g;MAARUD AS;mat;stk
7025110196910;Potetchips Paprika 300g;MAARUD AS;mat;stk
7025110196941;Kaldpresset Shot Ingefær;FRUITY LINE BV;mat;stk
7025110196972;Coop Shot Eple & Ingefær 500ml;FRUITY LINE BV;mat;stk
7025110197016;X-tra Brun Lapskaus 500g;NORTURA SA (PRIOR);mat;stk
7025110197139;Saftis;Xtra;mat;stk
7025110197184;Coop Dagens Grønnsaksuppe 1kg;MATPARTNER AS;mat;stk
7025110197313;Blåbær 225 gram;Coop;mat;stk
7025110197672;Norske Plommer;Coop;mat;stk
7025110197849;Coop Dagens Kyllingburger 230g;HOLMENS AS;mat;stk
7025110197870;Coop Dagens Kjøttboller 290g;HOLMENS AS;mat;stk
7025110197900;Julebrus 1,5L;Coop;mat;stk
7025110198617;Fiskekaker;NORSK KVALITETSMAT AS;mat;stk
7025110198679;Fiskekake av Hyse;NORSK KVALITETSMAT AS;mat;stk
7025110198709;Coop Naturell Fiskeburger 480g;NORSK KVALITETSMAT AS;mat;stk
7025110198761;Laksefilet 4 x 100 g;Xtra;mat;stk
7025110198822;Coop Laksefilet 600g;COAST SEAFOOD AS;mat;stk
7025110199324;Kyllingnuggets;FATLAND SALG AS;mat;stk
7025110199386;Kyllingpanetter Med Ost;FATLAND SALG AS;mat;stk
7025110199447;Svinesnitzel;Coop;mat;stk
7025110199621;Ytrefillet Av Svin i tynne skiver 370 gram;Coop;mat;stk
7025110199768;Gule Poteter;Coop;mat;stk
7025110199805;Små Mandelpoteter;Coop;mat;stk
7025110199829;Små Gule Poteter;COOP;mat;stk
7025110200006;Gorgonzola D.O.P Piccante 200g;Coop;drikke;stk
7025110200174;Iste Smak av Fersken;RØRA FABRIKKER AS;mat;stk
7025110200310;Pea Lasagne - Coop Vegetardag;Coop Norge SA;mat;stk
7025110200341;Curry Vindaloo vegetargryte;Coop vegetardag;mat;stk
7025110200396;Kjøttdeig 400g;Xtra;mat;stk
7025110200426;Karbonadekjøttdeig av storfe 400g;X-Tra;mat;stk
7025110200457;Kjøttdeig;Xtra;mat;stk
7025110200587;Eple/mango/avokado smoothie;Coop;drikke;stk
7025110200648;Kyllingfilet I Biter;Coop;mat;stk
7025110200679;Kylling Strimlet Lårfilet 500 gram;Coop;mat;stk
7025110200778;Vasket & spiseklar ruccola;Coop;mat;stk
7025110200792;Asparges;Coop;mat;stk
7025110201409;FISKEKAKE 400g;Norge sa;mat;stk
7025110201515;Smårettkylling 350 g;COOP;mat;stk
7025110201638;Crispy Kyllingburger 300g;Coop;mat;stk
7025110201669;Bearnaise;Coop;mat;stk
7025110201751;Peppersaus;Coop;mat;stk
7025110202000;Kjøttdeig av Kylling 400g;X-Tra;mat;stk
7025110202031;Nanbrød 2 x 130 gram;Coop;mat;stk
7025110202086;Fiskeburger- Hyse og torsk;Coop;mat;stk
7025110202116;Fiskuburger;Coop;mat;stk
7025110202208;Fiskeburger Bacon;Coop;mat;stk
7025110202291;Kyllingspyd Thai-Lime;Coop Grill Perfekt;mat;stk
7025110202321;Spareribs;Coop;mat;stk
7025110202697;Pølsebrød;Entra;mat;stk
7025110202888;Potet;Coop;mat;stk
7025110202963;Big beefy burger 2 x 180 g;Coop;mat;stk
7025110202994;Bresaola;Coop Smak;mat;stk
7025110203052;Blå Smoothie;Coop;drikke;stk
7025110203212;Burger av rødbeter, linset og søtpotet;;mat;stk
7025110203243;Burger av sopp 160g;Vegetardag;mat;stk
7025110203335;Vegetardag Burger Røkt smak;Coop;mat;stk
7025110203427;Kokt Skinke;Coop;mat;stk
7025110203687;Skinny Burgers 5% fett 2 x 150 g;Coop;mat;stk
7025110203816;Røkt laks i skiver;coop;mat;stk
7025110204349;Ferskpresset Appelsinjuice;Coop;mat;stk
7025110204943;Julebrus 330ml;Coop;mat;stk
7025110204950;Julebrus 6 x 330 ml;Coop;mat;stk
7025110205087;Crispy duck kit 510g;Smak*;mat;stk
7025110205254;Smak* Sjokolademosse 2 x 90g;Coop;mat;stk
7025110205285;Creme Caramel 240 gram;Coop;mat;stk
7025110205315;Jule Frii 0,8L;Frii;mat;stk
7025110205490;Kokefaste Poteter;Anglamark;mat;stk
7025110205599;X-tra biffpålegg 200g;Coop;mat;stk
7025110206046;Coop kjøttdeig 14% 400g;Coop;mat;stk
7025110206077;Kylling Nuggets;Coop;mat;stk
7025110206107;Grillpølser av Kylling 600g;Coop;mat;stk
7025110206138;Most Jordbær syltetøy 390g;Coop;mat;stk
7025110206169;Most bringebær syltetøy;Coop;mat;stk
7025110206220;Grillet Vingemiks Av Kylling;Xtra;mat;stk
7025110206251;Grillede Kyllinglår 1,5 kg;Xtra;mat;stk
7025110206374;Laktiskuler;Smak;mat;stk
7025110206411;Krbonader 400 g;Coop;mat;stk
7025110206442;Kjøttboller 50% Mindre;Coop;mat;stk
7025110206756;Økologiske pitabrød 320g (4 pitas);Ånglamark;mat;stk
7025110206787;Laks;Coop;mat;stk
7025110206817;Epledrikk 250ml;Coop;drikke;stk
7025110206848;Coop Appelsindrikk 0.25 l;;mat;stk
7025110206961;Sukkererter;Coop;mat;stk
7025110207005;Jordbærsyltetøy;Fyra;mat;stk
7025110207159;Kyllingfilet Naturell;Coop;mat;stk
7025110207180;Kyllingfilet Røkt;Nyt Norge;mat;stk
7025110207210;Kylling Filet Pepper;Coop;mat;stk
7025110207371;Lys Lapskaus 1L;Coop;mat;stk
7025110207401;Dagens THAISUPPE;Coop;mat;stk
7025110207463;Fiskesuppe med fløte og rotgrønnsaker 1kg;Coop Dagens;drikke;stk
7025110207494;Dagens Blomkålsuppe 1kg;Coop Dagens;mat;stk
7025110207852;Iskaffe Sweet Caramel;Coop;mat;stk
